expected_job_id,group,size,instance,method,seed,run_status,failure_class,failure_stage,failure_detail,checker_failure_class,exit_code,timed_out,wall_runtime_seconds,job_dir
C-c101C5-pyga_checked-seed-0001,C,5,c101C5,pyga_checked,1,failed,infeasible,checker,checker_infeasible:energy_or_charging,checker_infeasible:energy_or_charging,0,false,0.422598,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\5\c101C5\pyga_checked\seed-0001
C-c101C10-pomo_repair-seed-0001,C,10,c101C10,pomo_repair,1,failed,missing,checker,checker_infeasible:coverage_missing,checker_infeasible:coverage_missing,0,false,3.229242,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\pomo_repair\seed-0001
C-c101C10-pyga_checked-seed-0001,C,10,c101C10,pyga_checked,1,failed,infeasible,checker,checker_infeasible:fleet,checker_infeasible:fleet,0,false,0.361202,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\10\c101C10\pyga_checked\seed-0001
C-c103C15-pomo_repair-seed-0001,C,15,c103C15,pomo_repair,1,failed,missing,checker,checker_infeasible:coverage_missing,checker_infeasible:coverage_missing,0,false,4.065788,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\pomo_repair\seed-0001
C-c103C15-pyga_checked-seed-0001,C,15,c103C15,pyga_checked,1,failed,infeasible,checker,checker_infeasible:energy_or_charging,checker_infeasible:energy_or_charging,0,false,0.376603,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\pyga_checked\seed-0001
C-c101_21-pyvrp_repair-seed-0001,C,100,c101_21,pyvrp_repair,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pyvrp_repair\seed-0001
C-c101_21-vns_ts-seed-0001,C,100,c101_21,vns_ts,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\vns_ts\seed-0001
C-c101_21-pomo_repair-seed-0001,C,100,c101_21,pomo_repair,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pomo_repair\seed-0001
C-c101_21-pyga_checked-seed-0001,C,100,c101_21,pyga_checked,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pyga_checked\seed-0001
C-c101_21-routefinder_repair-seed-0001,C,100,c101_21,routefinder_repair,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\routefinder_repair\seed-0001
R-r104C5-pyga_checked-seed-0001,R,5,r104C5,pyga_checked,1,failed,infeasible,checker,checker_infeasible:energy_or_charging,checker_infeasible:energy_or_charging,0,false,0.802554,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\R\5\r104C5\pyga_checked\seed-0001
R-r102C10-pomo_repair-seed-0001,R,10,r102C10,pomo_repair,1,failed,missing,checker,checker_infeasible:coverage_missing,checker_infeasible:coverage_missing,0,false,2.630047,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\R\10\r102C10\pomo_repair\seed-0001
R-r102C10-pyga_checked-seed-0001,R,10,r102C10,pyga_checked,1,failed,infeasible,checker,checker_infeasible:energy_or_charging,checker_infeasible:energy_or_charging,0,false,0.34199,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\R\10\r102C10\pyga_checked\seed-0001
R-r102C15-pomo_repair-seed-0001,R,15,r102C15,pomo_repair,1,failed,missing,checker,checker_infeasible:coverage_missing,checker_infeasible:coverage_missing,0,false,6.246871,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\R\15\r102C15\pomo_repair\seed-0001
R-r102C15-pyga_checked-seed-0001,R,15,r102C15,pyga_checked,1,failed,infeasible,checker,checker_infeasible:fleet,checker_infeasible:fleet,0,false,0.369744,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\R\15\r102C15\pyga_checked\seed-0001
R-r101_21-pyvrp_repair-seed-0001,R,100,r101_21,pyvrp_repair,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\R\100\r101_21\pyvrp_repair\seed-0001
R-r101_21-vns_ts-seed-0001,R,100,r101_21,vns_ts,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\R\100\r101_21\vns_ts\seed-0001
R-r101_21-pomo_repair-seed-0001,R,100,r101_21,pomo_repair,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\R\100\r101_21\pomo_repair\seed-0001
R-r101_21-pyga_checked-seed-0001,R,100,r101_21,pyga_checked,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\R\100\r101_21\pyga_checked\seed-0001
R-r101_21-routefinder_repair-seed-0001,R,100,r101_21,routefinder_repair,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\R\100\r101_21\routefinder_repair\seed-0001
RC-rc105C5-pyga_checked-seed-0001,RC,5,rc105C5,pyga_checked,1,failed,infeasible,checker,checker_infeasible:energy_or_charging,checker_infeasible:energy_or_charging,0,false,0.322094,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\5\rc105C5\pyga_checked\seed-0001
RC-rc102C10-pyvrp_repair-seed-0001,RC,10,rc102C10,pyvrp_repair,1,failed,missing,checker,checker_infeasible:coverage_missing,checker_infeasible:coverage_missing,0,false,10.255101,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\10\rc102C10\pyvrp_repair\seed-0001
RC-rc102C10-vns_ts-seed-0001,RC,10,rc102C10,vns_ts,1,failed,infeasible,checker,checker_infeasible:time_window,checker_infeasible:time_window,0,false,112.633364,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\10\rc102C10\vns_ts\seed-0001
RC-rc102C10-pomo_repair-seed-0001,RC,10,rc102C10,pomo_repair,1,failed,missing,checker,checker_infeasible:coverage_missing,checker_infeasible:coverage_missing,0,false,2.543296,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\10\rc102C10\pomo_repair\seed-0001
RC-rc102C10-pyga_checked-seed-0001,RC,10,rc102C10,pyga_checked,1,failed,infeasible,checker,checker_infeasible:fleet,checker_infeasible:fleet,0,false,0.353106,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\10\rc102C10\pyga_checked\seed-0001
RC-rc102C10-routefinder_repair-seed-0001,RC,10,rc102C10,routefinder_repair,1,failed,invalid,checker_contract,contract_mismatch,contract_mismatch,0,false,10.251897,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\10\rc102C10\routefinder_repair\seed-0001
RC-rc103C15-vns_ts-seed-0001,RC,15,rc103C15,vns_ts,1,failed,missing,runner,runner.json is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\15\rc103C15\vns_ts\seed-0001
RC-rc103C15-pomo_repair-seed-0001,RC,15,rc103C15,pomo_repair,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\15\rc103C15\pomo_repair\seed-0001
RC-rc103C15-pyga_checked-seed-0001,RC,15,rc103C15,pyga_checked,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\15\rc103C15\pyga_checked\seed-0001
RC-rc103C15-routefinder_repair-seed-0001,RC,15,rc103C15,routefinder_repair,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\15\rc103C15\routefinder_repair\seed-0001
RC-rc101_21-pyvrp_repair-seed-0001,RC,100,rc101_21,pyvrp_repair,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\100\rc101_21\pyvrp_repair\seed-0001
RC-rc101_21-vns_ts-seed-0001,RC,100,rc101_21,vns_ts,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\100\rc101_21\vns_ts\seed-0001
RC-rc101_21-pomo_repair-seed-0001,RC,100,rc101_21,pomo_repair,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\100\rc101_21\pomo_repair\seed-0001
RC-rc101_21-pyga_checked-seed-0001,RC,100,rc101_21,pyga_checked,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\100\rc101_21\pyga_checked\seed-0001
RC-rc101_21-routefinder_repair-seed-0001,RC,100,rc101_21,routefinder_repair,1,failed,missing,job,expected job directory is missing,,,,,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\RC\100\rc101_21\routefinder_repair\seed-0001
